Parasite,Compound,Conc,Rep,Day,M0,Mf,Nf,Dm,N.mean,Dm.norm
P,C,H,5,4,6.58,6.38,9,0.1775,9,0.01972222222222222
P,C,H,5,5,6.38,6.24,9,0.11999999999999988,9,0.01333333333333332
P,C,H,5,6,6.24,5.93,9,0.2675000000000003,9,0.029722222222222254
P,C,L,5,1,7.08,6.77,13,0.2525000000000004,13,0.019423076923076953
P,C,L,5,2,6.77,6.46,13,0.2649999999999999,13,0.020384615384615376
P,C,L,5,3,6.46,6.18,13,0.25,13,0.019230769230769232
P,C,L,5,4,6.18,5.92,12,0.2374999999999996,12.5,0.01899999999999997
P,C,L,5,5,5.92,5.38,12,0.5200000000000002,12,0.043333333333333356
P,C,L,5,6,5.38,5.07,12,0.2674999999999994,12,0.022291666666666616
P,C,H,6,1,7.01,6.72,9,0.23249999999999993,9,0.025833333333333326
P,C,H,6,2,6.72,6.63,9,0.04500000000000015,9,0.005000000000000017
P,C,H,6,3,6.63,6.38,8,0.21999999999999975,8.5,0.02588235294117644
P,C,H,6,4,6.38,6.09,8,0.26749999999999985,8,0.03343749999999998
P,C,H,6,5,6.09,5.99,8,0.07999999999999985,8,0.009999999999999981
P,C,H,6,6,5.99,5.68,8,0.2675000000000003,8,0.03343750000000004
P,C,L,6,1,6.86,6.5,14,0.3025000000000002,14,0.021607142857142873
P,C,L,6,2,6.5,6.17,14,0.28500000000000036,14,0.020357142857142883
P,C,L,6,3,6.17,5.69,14,0.4499999999999993,14,0.03214285714285709
P,C,L,6,4,5.69,5.44,14,0.2274999999999998,14,0.016249999999999987
P,C,L,6,5,5.44,5.05,14,0.3700000000000008,14,0.026428571428571485
P,C,L,6,6,5.05,4.7,14,0.30749999999999944,14,0.021964285714285676
P,C,L,6,9,6.93,6.73,7,0.1624999999999992,7,0.0232142857142856
P,C,L,6,10,6.73,6.59,7,0.10500000000000043,7,0.01500000000000006
P,C,L,6,11,6.59,6.35,6,0.21250000000000036,6.5,0.03269230769230775
P,C,L,6,12,6.35,6.27,6,0.05500000000000016,6,0.009166666666666693
P,C,H,1,1,7.09,6.86,10,0.17249999999999943,10.5,0.016428571428571376
P,C,H,1,2,6.86,6.73,10,0.08500000000000019,10,0.008500000000000018
P,C,H,1,3,6.73,6.63,10,0.07000000000000028,10,0.007000000000000029
