Parasite.treatment,Compound.name,Concentration,Rep,Number,End_time,Dead
Parasite,Eugenol,High,1,9,8,1
Parasite,Eugenol,High,1,10,8,1
Parasite,Eugenol,High,1,11,9,1
Parasite,Eugenol,High,1,12,9,1
Parasite,Eugenol,High,1,13,9,1
Parasite,Eugenol,High,1,14,9,1
Parasite,Eugenol,High,2,1,1,1
Parasite,Eugenol,High,2,2,7,1
Parasite,Eugenol,High,2,3,8,1
Parasite,Eugenol,High,2,4,8,1
Parasite,Eugenol,High,2,5,8,1
Parasite,Eugenol,High,2,6,8,1
Parasite,Eugenol,High,2,7,8,1
Parasite,Eugenol,High,2,8,8,1
Parasite,Eugenol,High,2,9,8,1
Parasite,Eugenol,High,2,10,11,0
Parasite,Eugenol,High,2,11,11,0
Parasite,Eugenol,High,2,12,11,0
Parasite,Eugenol,High,2,13,11,0
Parasite,Eugenol,High,2,14,11,0
Parasite,Eugenol,High,3,1,1,1
Parasite,Eugenol,High,3,2,8,1
Parasite,Eugenol,High,3,3,8,1
Parasite,Eugenol,High,3,4,8,1
Parasite,Eugenol,High,3,5,8,1
Parasite,Eugenol,High,3,6,8,1
Parasite,Eugenol,High,3,7,8,1
Parasite,Eugenol,High,3,8,8,1
Parasite,Eugenol,High,3,9,11,1
Parasite,Eugenol,High,3,10,11,1
Parasite,Eugenol,High,3,11,15,1
Parasite,Eugenol,High,3,12,11,0
Parasite,Eugenol,High,3,13,11,0
Parasite,Eugenol,High,3,14,11,0
Parasite,Eugenol,High,4,1,1,1
Parasite,Eugenol,High,4,2,8,1
Parasite,Eugenol,High,4,3,8,1
Parasite,Eugenol,High,4,4,8,1
Parasite,Eugenol,High,4,5,8,1
Parasite,Eugenol,High,4,6,8,1
Parasite,Eugenol,High,4,7,8,1
Parasite,Eugenol,High,4,8,8,1
Parasite,Eugenol,High,4,9,9,1
Parasite,Eugenol,High,4,10,9,1
Parasite,Eugenol,High,4,11,10,1
Parasite,Eugenol,High,4,12,10,1
Parasite,Eugenol,High,4,13,11,1
Parasite,Eugenol,High,4,14,11,0
Parasite,Eugenol,High,5,1,2,1
Parasite,Eugenol,High,5,2,8,1
Parasite,Eugenol,High,5,3,8,1
Parasite,Eugenol,High,5,4,8,1
Parasite,Eugenol,High,5,5,8,1
Parasite,Eugenol,High,5,6,8,1
Parasite,Eugenol,High,5,7,8,1
Parasite,Eugenol,High,5,8,8,1
Parasite,Eugenol,High,5,9,13,1
Parasite,Eugenol,High,5,10,13,1
Parasite,Eugenol,High,5,11,15,1
Parasite,Eugenol,High,5,12,15,1
Parasite,Eugenol,High,5,13,11,0
Parasite,Eugenol,High,5,14,11,0
Parasite,Eugenol,High,6,1,1,1
Parasite,Eugenol,High,6,2,1,1
Parasite,Eugenol,High,6,3,1,1
Parasite,Eugenol,High,6,4,1,1
Parasite,Eugenol,High,6,5,2,1
Parasite,Eugenol,High,6,6,8,1
Parasite,Eugenol,High,6,7,8,1
Parasite,Eugenol,High,6,8,8,1
Parasite,Eugenol,High,6,9,8,1
Parasite,Eugenol,High,6,10,8,1
Parasite,Eugenol,High,6,11,8,1
Parasite,Eugenol,High,6,12,8,1
Parasite,Eugenol,High,6,13,10,1
Parasite,Eugenol,High,6,14,13,1
Parasite,Eugenol,Low,1,1,1,1
Parasite,Eugenol,Low,1,2,2,1
Parasite,Eugenol,Low,1,3,7,1
Parasite,Eugenol,Low,1,4,8,1
Parasite,Eugenol,Low,1,5,8,1
Parasite,Eugenol,Low,1,6,8,1
Parasite,Eugenol,Low,1,7,8,1
Parasite,Eugenol,Low,1,8,8,1
Parasite,Eugenol,Low,1,9,8,1
Parasite,Eugenol,Low,1,10,8,1
Parasite,Eugenol,Low,1,11,11,0
Parasite,Eugenol,Low,1,12,11,0
Parasite,Eugenol,Low,1,13,11,0
Parasite,Eugenol,Low,1,14,11,0
Parasite,Eugenol,Low,2,1,4,1
Parasite,Eugenol,Low,2,2,4,1
Parasite,Eugenol,Low,2,3,5,1
Parasite,Eugenol,Low,2,4,5,1
Parasite,Eugenol,Low,2,5,6,1
Parasite,Eugenol,Low,2,6,6,1
Parasite,Eugenol,Low,2,7,8,1
Parasite,Eugenol,Low,2,8,8,1
Parasite,Eugenol,Low,2,9,8,1
Parasite,Eugenol,Low,2,10,8,1
Parasite,Eugenol,Low,2,11,8,1
Parasite,Eugenol,Low,2,12,8,1
Parasite,Eugenol,Low,2,13,8,1
Parasite,Eugenol,Low,2,14,9,1
Parasite,Eugenol,Low,3,1,8,1
Parasite,Eugenol,Low,3,2,8,1
Parasite,Eugenol,Low,3,3,8,1
Parasite,Eugenol,Low,3,4,8,1
Parasite,Eugenol,Low,3,5,8,1
Parasite,Eugenol,Low,3,6,8,1
Parasite,Eugenol,Low,3,7,8,1
Parasite,Eugenol,Low,3,8,9,1
Parasite,Eugenol,Low,3,9,12,1
Parasite,Eugenol,Low,3,10,13,1
Parasite,Eugenol,Low,3,11,15,1
Parasite,Eugenol,Low,3,12,11,0
Parasite,Eugenol,Low,3,13,11,0
Parasite,Eugenol,Low,3,14,11,0
Parasite,Eugenol,Low,4,1,1,1
Parasite,Eugenol,Low,4,2,1,1
Parasite,Eugenol,Low,4,3,1,1
Parasite,Eugenol,Low,4,4,1,1
Parasite,Eugenol,Low,4,5,5,1
Parasite,Eugenol,Low,4,6,8,1
Parasite,Eugenol,Low,4,7,8,1
Parasite,Eugenol,Low,4,8,8,1
Parasite,Eugenol,Low,4,9,8,1
Parasite,Eugenol,Low,4,10,8,1
Parasite,Eugenol,Low,4,11,8,1
Parasite,Eugenol,Low,4,12,8,1
Parasite,Eugenol,Low,4,13,10,1
Parasite,Eugenol,Low,4,14,10,1
Parasite,Eugenol,Low,5,1,1,1
Parasite,Eugenol,Low,5,2,7,1
Parasite,Eugenol,Low,5,3,7,1
Parasite,Eugenol,Low,5,4,8,1
Parasite,Eugenol,Low,5,5,8,1
Parasite,Eugenol,Low,5,6,8,1
Parasite,Eugenol,Low,5,7,8,1
Parasite,Eugenol,Low,5,8,8,1
Parasite,Eugenol,Low,5,9,8,1
