Parasite.treatment,Compound.name,Concentration,Rep,Day,M0,Mf,N.mean,Dm.norm
Parasite,Cinnamaldehyde,Low,1,6,5.54,5.33,12,0.013958333333333314
Parasite,Cinnamaldehyde,High,2,1,6.95,6.71,13.5,0.013518518518518527
Parasite,Cinnamaldehyde,High,2,2,6.71,6.44,13,0.017307692307692298
Parasite,Cinnamaldehyde,High,2,3,6.44,6.16,13,0.019230769230769232
Parasite,Cinnamaldehyde,High,2,4,6.16,5.88,13,0.01980769230769231
Parasite,Cinnamaldehyde,High,2,5,5.88,5.57,13,0.022307692307692292
Parasite,Cinnamaldehyde,High,2,6,5.57,5.18,12.5,0.02780000000000003
Parasite,Cinnamaldehyde,Low,2,1,6.86,6.65,14,0.010892857142857133
Parasite,Cinnamaldehyde,Low,2,2,6.65,6.34,14,0.018928571428571486
Parasite,Cinnamaldehyde,Low,2,3,6.34,5.9,14,0.02928571428571423
Parasite,Cinnamaldehyde,Low,2,4,5.9,5.62,14,0.01839285714285715
Parasite,Cinnamaldehyde,Low,2,5,5.62,5.26,14,0.024285714285714324
Parasite,Cinnamaldehyde,Low,2,6,5.26,5.01,14,0.014821428571428557
Parasite,Cinnamaldehyde,Low,2,9,6.88,6.67,7,0.024642857142857126
Parasite,Cinnamaldehyde,Low,2,10,6.67,6.57,7,0.009285714285714215
Parasite,Cinnamaldehyde,Low,2,11,6.57,6.44,7,0.014642857142857148
Parasite,Cinnamaldehyde,Low,2,12,6.44,6.25,7,0.02357142857142864
Parasite,Cinnamaldehyde,Low,2,13,6.25,6.09,7,0.01928571428571432
Parasite,Cinnamaldehyde,High,3,1,6.96,6.7,13,0.015576923076923052
Parasite,Cinnamaldehyde,High,3,2,6.7,6.5,13,0.01192307692307696
Parasite,Cinnamaldehyde,High,3,3,6.5,6.22,13,0.019230769230769232
Parasite,Cinnamaldehyde,High,3,4,6.22,5.91,13,0.02211538461538457
Parasite,Cinnamaldehyde,High,3,5,5.91,5.56,13,0.025384615384615443
Parasite,Cinnamaldehyde,High,3,6,5.56,5.14,13,0.029038461538461516
Parasite,Cinnamaldehyde,High,3,9,6.84,6.78,5,0.004499999999999904
Parasite,Cinnamaldehyde,High,3,10,6.78,6.67,5,0.015000000000000036
Parasite,Cinnamaldehyde,High,3,11,6.67,6.56,5,0.01650000000000009
Parasite,Cinnamaldehyde,High,3,12,6.56,6.52,5,0.0030000000000000248
Parasite,Cinnamaldehyde,High,3,13,6.52,6.39,5,0.020999999999999998
Parasite,Cinnamaldehyde,Low,3,1,6.89,6.5,13,0.025576923076923046
Parasite,Cinnamaldehyde,Low,3,2,6.5,6.27,12.5,0.014800000000000058
Parasite,Cinnamaldehyde,Low,3,3,6.27,6.05,12,0.015833333333333293
Parasite,Cinnamaldehyde,Low,3,4,6.05,5.77,12,0.02145833333333334
Parasite,Cinnamaldehyde,Low,3,5,5.77,5.33,12,0.034999999999999976
Parasite,Cinnamaldehyde,Low,3,6,5.33,5,12,0.02395833333333332
Parasite,Cinnamaldehyde,Low,3,9,6.94,6.79,5,0.022500000000000055
Parasite,Cinnamaldehyde,Low,3,10,6.79,6.57,5,0.03699999999999992
Parasite,Cinnamaldehyde,Low,3,11,6.57,6.36,5,0.03650000000000002
Parasite,Cinnamaldehyde,Low,3,12,6.36,6.15,5,0.03700000000000001
Parasite,Cinnamaldehyde,Low,3,13,6.15,5.87,5,0.051000000000000066
Parasite,Cinnamaldehyde,High,4,1,6.88,6.6,14,0.015892857142857153
Parasite,Cinnamaldehyde,High,4,2,6.6,6.37,14,0.013214285714285703
Parasite,Cinnamaldehyde,High,4,3,6.37,6.16,14,0.012857142857142836
Parasite,Cinnamaldehyde,High,4,4,6.16,5.93,14,0.014821428571428588
Parasite,Cinnamaldehyde,High,4,5,5.93,5.69,13.5,0.01629629629629626
Parasite,Cinnamaldehyde,High,4,6,5.69,5.46,13,0.01442307692307694
Parasite,Cinnamaldehyde,High,4,9,7.08,7,6,0.00708333333333333
Parasite,Cinnamaldehyde,High,4,10,7,6.9,6,0.01083333333333325
Parasite,Cinnamaldehyde,High,4,11,6.9,6.84,5.5,0.005909090909091025
Parasite,Cinnamaldehyde,High,4,12,6.84,6.75,5,0.012999999999999989
Parasite,Cinnamaldehyde,High,4,13,6.75,6.63,5,0.019000000000000038
Parasite,Cinnamaldehyde,Low,4,1,6.84,6.62,13.5,0.012037037037037011
Parasite,Cinnamaldehyde,Low,4,2,6.62,6.34,13,0.01807692307692312
Parasite,Cinnamaldehyde,Low,4,3,6.34,5.97,13,0.026153846153846142
Parasite,Cinnamaldehyde,Low,4,4,5.97,5.63,13,0.024423076923076898
Parasite,Cinnamaldehyde,Low,4,5,5.63,5.24,13,0.02846153846153845
Parasite,Cinnamaldehyde,Low,4,6,5.24,4.92,13,0.02134615384615385
Parasite,Cinnamaldehyde,Low,4,9,6.89,6.69,6,0.0270833333333332
Parasite,Cinnamaldehyde,Low,4,10,6.69,6.47,6,0.030833333333333417
Parasite,Cinnamaldehyde,Low,4,11,6.47,6.35,5.5,0.016818181818181864
Parasite,Cinnamaldehyde,Low,4,12,6.35,6.2,5,0.02499999999999991
Parasite,Cinnamaldehyde,Low,4,13,6.2,6.01,5,0.0330000000000001
Parasite,Cinnamaldehyde,High,5,1,7.11,6.89,13,0.01250000000000004
Parasite,Cinnamaldehyde,High,5,2,6.89,6.67,13,0.013461538461538466
Parasite,Cinnamaldehyde,High,5,3,6.67,6.38,13,0.019999999999999983
Parasite,Cinnamaldehyde,High,5,4,6.38,6.06,13,0.022884615384615392
Parasite,Cinnamaldehyde,High,5,5,6.06,5.79,13,0.019230769230769214
Parasite,Cinnamaldehyde,High,5,6,5.79,5.43,13,0.024423076923076933
Parasite,Cinnamaldehyde,Low,5,1,6.83,6.5,13,0.02096153846153846
Parasite,Cinnamaldehyde,Low,5,2,6.5,6.22,12.5,0.018800000000000042
Parasite,Cinnamaldehyde,Low,5,3,6.22,5.94,12,0.02083333333333326
Parasite,Cinnamaldehyde,Low,5,4,5.94,5.7,12,0.018125000000000002
Parasite,Cinnamaldehyde,Low,5,5,5.7,5.39,12,0.024166666666666725
Parasite,Cinnamaldehyde,Low,5,6,5.39,5.02,12,0.02729166666666666
Parasite,Cinnamaldehyde,Low,5,9,7.06,6.93,5,0.01849999999999996
Parasite,Cinnamaldehyde,Low,5,10,6.93,6.86,5,0.006999999999999851
Parasite,Cinnamaldehyde,Low,5,11,6.86,6.79,5,0.008500000000000086
Parasite,Cinnamaldehyde,Low,5,12,6.79,6.74,5,0.004999999999999982
Parasite,Cinnamaldehyde,Low,5,13,6.74,6.57,5,0.029000000000000005
Parasite,Cinnamaldehyde,High,6,1,7.09,6.76,14,0.019464285714285712
Parasite,Cinnamaldehyde,High,6,2,6.76,6.46,14,0.01821428571428572
Parasite,Cinnamaldehyde,High,6,3,6.46,6.13,13,0.023076923076923064
Parasite,Cinnamaldehyde,High,6,4,6.13,5.83,12,0.02312499999999997
Parasite,Cinnamaldehyde,High,6,5,5.83,5.52,12,0.024166666666666725
Parasite,Cinnamaldehyde,High,6,6,5.52,5.22,12,0.0214583333333333
Parasite,Cinnamaldehyde,High,6,9,7.15,7.07,5,0.008499999999999997
Parasite,Cinnamaldehyde,High,6,10,7.07,6.93,5,0.021000000000000085
Parasite,Cinnamaldehyde,High,6,11,6.93,6.8,5,0.020500000000000008
Parasite,Cinnamaldehyde,Low,6,1,6.93,6.66,13.5,0.0157407407407407
Parasite,Cinnamaldehyde,Low,6,2,6.66,6.44,13,0.013461538461538466
Parasite,Cinnamaldehyde,Low,6,3,6.44,6.26,13,0.011538461538461565
Parasite,Cinnamaldehyde,Low,6,4,6.26,6.04,12.5,0.015799999999999967
Parasite,Cinnamaldehyde,Low,6,5,6.04,5.74,12,0.023333333333333334
Parasite,Cinnamaldehyde,Low,6,6,5.74,5.34,12,0.029791666666666678
Parasite,Thymol,High,1,1,6.71,6.42,14,0.01660714285714285
Parasite,Thymol,High,1,2,6.42,6.19,14,0.013214285714285703
Parasite,Thymol,High,1,3,6.19,5.9,14,0.018571428571428555
Parasite,Thymol,High,1,4,5.9,5.69,14,0.013392857142857127
Parasite,Thymol,High,1,5,5.69,5.37,13.5,0.022222222222222258
Parasite,Thymol,High,1,6,5.37,5.03,13,0.022884615384615357
Parasite,Thymol,Low,1,1,6.68,6.41,14,0.01517857142857139
Parasite,Thymol,Low,1,2,6.41,6.17,14,0.013928571428571465
Parasite,Thymol,Low,1,3,6.17,5.89,14,0.017857142857142856
Parasite,Thymol,Low,1,4,5.89,5.63,14,0.016964285714285685
Parasite,Thymol,Low,1,5,5.63,5.41,14,0.014285714285714282
Parasite,Thymol,Low,1,6,5.41,5.13,14,0.016964285714285716
Parasite,Thymol,Low,1,9,6.75,6.6,6.5,0.01730769230769235
Parasite,Thymol,Low,1,10,6.6,6.46,6,0.017499999999999922
Parasite,Thymol,Low,1,11,6.46,6.34,6,0.015416666666666709
Parasite,Thymol,Low,1,12,6.34,6.15,6,0.02749999999999993
Parasite,Thymol,Low,1,13,6.15,6.06,6,0.010833333333333472
Parasite,Thymol,High,2,1,6.97,6.57,13,0.026346153846153797
Parasite,Thymol,High,2,2,6.57,6.35,12.5,0.014000000000000075
Parasite,Thymol,High,2,3,6.35,5.98,12,0.02833333333333325
Parasite,Thymol,High,2,4,5.98,5.59,12,0.03062500000000003
Parasite,Thymol,High,2,5,5.59,5.46,12,0.009166666666666675
Parasite,Thymol,High,2,6,5.46,5.19,12,0.018958333333333282
Parasite,Thymol,Low,2,1,6.65,6.32,13,0.02096153846153846
Parasite,Thymol,Low,2,2,6.32,6.06,13,0.016538461538461613
Parasite,Thymol,Low,2,3,6.06,5.83,13,0.01538461538461533
Parasite,Thymol,Low,2,4,5.83,5.5,13,0.023653846153846143
Parasite,Thymol,Low,2,5,5.5,5.2,13,0.02153846153846154
Parasite,Thymol,Low,2,6,5.2,5,13,0.012115384615384613
Parasite,Thymol,Low,2,9,6.76,6.56,6,0.027083333333333348
Parasite,Thymol,Low,2,10,6.56,6.43,6,0.015833333333333293
Parasite,Thymol,Low,2,11,6.43,6.23,5.5,0.03136363636363626
Parasite,Thymol,Low,2,12,6.23,6.18,5,0.00500000000000016
Parasite,Thymol,Low,2,13,6.18,6.08,5,0.014999999999999947
Parasite,Thymol,High,3,1,6.97,6.69,12,0.018541666666666606
Parasite,Thymol,High,3,2,6.69,6.54,12,0.008750000000000055
Parasite,Thymol,High,3,3,6.54,6.32,12,0.015833333333333293
Parasite,Thymol,High,3,4,6.32,6.04,12,0.02145833333333334
Parasite,Thymol,High,3,5,6.04,5.8,12,0.018333333333333368
Parasite,Thymol,High,3,6,5.8,5.67,12,0.007291666666666641
Parasite,Thymol,High,3,9,6.71,6.66,5,0.0024999999999999467
Parasite,Thymol,Low,3,1,6.77,6.45,11.5,0.022826086956521677
Parasite,Thymol,Low,3,2,6.45,6.35,11,0.005000000000000075
Parasite,Thymol,Low,3,3,6.35,6.05,10.5,0.025714285714285672
Parasite,Thymol,Low,3,4,6.05,5.88,10,0.014749999999999975
Parasite,Thymol,Low,3,5,5.88,5.66,10,0.019999999999999997
Parasite,Thymol,Low,3,6,5.66,5.41,10,0.02074999999999998
Parasite,Thymol,High,4,1,6.73,6.4,13,0.02096153846153846
Parasite,Thymol,High,4,2,6.4,6.17,12.5,0.014800000000000058
Parasite,Thymol,High,4,3,6.17,5.83,12,0.025833333333333302
Parasite,Thymol,High,4,4,5.83,5.59,12,0.018125000000000002
Parasite,Thymol,High,4,5,5.59,5.32,12,0.020833333333333315
Parasite,Thymol,High,4,6,5.32,4.97,12,0.025625000000000026
Parasite,Thymol,High,4,9,6.68,6.38,5,0.05249999999999995
Parasite,Thymol,Low,4,1,6.94,6.7,7,0.026071428571428586
Parasite,Thymol,Low,4,2,6.7,6.58,7,0.010714285714285772
Parasite,Thymol,Low,4,3,6.58,6.39,7,0.022857142857142878
Parasite,Thymol,Low,4,4,6.39,6.15,7,0.031071428571428448
Parasite,Thymol,Low,4,5,6.15,6.01,7,0.017142857142857255
